faculty_id,faculty_name,superior_academic_unit,academic_unit
2628747,"ANDERSON, ERIC WILLIAM",Engineering,Roux Institute
141388,"DUGGAN, CLAIRE",Engineering,Center for STEM education
1811711,"GOSAIN, MANU",Engineering,electrical and computer engineering
147299,"HARRIS, RICHARD",Engineering,College of Social Sciences & Humanities
141482,"ISAACS, JACKIE A",Engineering,Mechanical & Industrial Engineering
1770048,"JOHARI, PEDRAM",Engineering,Electrical and Computer Engineering
1061549,"KNUDSEN, BEN ERIC",Math?,moved to CSU
1237968,"KRAMER, ART F",College of science,Psychology
2980860,"MURRAY, DAKOTA SCOTT",Network science institute,moved to University of albany
1051304,"PIEPER, KELSEY JANETTE",Engineering,Civil and Environmental Engineering
140848,"SUN, NIAN",Engineering,Electrical and computer engineering and bioengineering
1216040,"TIP, FRANK",Khoury,
1214212,"TIWARI, DEVESH",Engineering,Electrical and Computer engineering
622355,"VOLLMER, STEVEN V",College of science,moved to FAU
141701,"WADIA-FASCETTI, SARA J",Engineering,Civil and Environmental Engineering
